Store,Date,IsHoliday,Temperature,gas_price,discount_promotional,discount_clearance,discount_damaged_good,discount_competitive,CPI,Unemployment,Weekly_Sales,Type,Size,Weekly_Sales.1
1,2/5/2010,FALSE,59.33,3.36,9667.5,268.29,0.6,8368.15,223.6591137,6.833,1643690.9,A,151315,1643690.9
1,2/12/2010,TRUE,51.65,3.409,8687.47,1594.87,2.2,2144.87,223.753643,6.833,1641957.44,A,151315,1641957.44
1,2/19/2010,FALSE,52.39,3.51,2706.87,3128.74,1.88,2396.68,223.9170153,6.833,1611968.17,A,151315,1611968.17
1,3/12/2010,FALSE,60.71,3.669,8368.5,298.46,1.39,1340.29,224.5620291,6.833,1439541.59,A,151315,1439541.59
1,3/19/2010,FALSE,64,3.734,2588.06,80.89,3.2,909.76,224.7166953,6.833,1472515.79,A,151315,1472515.79
1,3/26/2010,FALSE,66.53,3.787,737.08,36.1,1.43,92.11,224.7909104,6.833,1404429.92,A,151315,1404429.92
1,4/2/2010,FALSE,69.36,3.845,825.1,99.83,1.25,113.25,224.8651254,6.833,1594968.28,A,151315,1594968.28
1,4/16/2010,FALSE,72.83,3.891,5359.22,1673.42,3,682.03,225.0135556,6.664,1466058.28,A,151315,1466058.28
1,4/23/2010,FALSE,72.05,3.877,2784.82,130.68,1.75,425.29,225.0689541,6.664,1391256.12,A,151315,1391256.12
1,6/4/2010,FALSE,81.55,3.501,2664.55,10,220.03,618.49,225.2518313,6.664,1615524.71,A,151315,1615524.71
1,6/11/2010,FALSE,81.65,3.452,5770.48,28.6,30.18,283.7,225.2521458,6.664,1542561.09,A,151315,1542561.09
1,6/18/2010,FALSE,84.66,3.393,2014.47,31.8,1,631.17,225.2644795,6.664,1503284.06,A,151315,1503284.06
1,6/25/2010,FALSE,82.7,3.346,1843.45,11.2,0.51,421.71,225.3068615,6.664,1422711.6,A,151315,1422711.6
1,7/9/2010,FALSE,83.14,3.227,2625.99,30.7,28.16,703.16,225.3916254,6.334,1546074.18,A,151315,1546074.18
1,7/16/2010,FALSE,82.28,3.256,3196.9,20.8,2.02,302.29,225.4340074,6.334,1448938.92,A,151315,1448938.92
1,7/23/2010,FALSE,81.38,3.311,1266.72,66.2,3.83,149.62,225.4438827,6.334,1385065.2,A,151315,1385065.2
1,7/30/2010,FALSE,84.94,3.407,3447.28,31,2.46,1791.7,225.4537579,6.334,1371986.6,A,151315,1371986.6
1,8/6/2010,FALSE,86.55,3.417,5683.49,37.2,0.04,2484.22,225.4636332,6.334,1605491.78,A,151315,1605491.78
1,8/13/2010,FALSE,85.85,3.494,3375.44,28.4,2.4,1880.43,225.4735085,6.334,1508237.76,A,151315,1508237.76
1,9/3/2010,FALSE,85.18,3.638,6599.69,27.8,24.7,1743.76,225.8293063,6.334,1540163.53,A,151315,1540163.53
1,9/10/2010,TRUE,84.99,3.73,2266.83,19,8.31,419.87,225.9660263,6.334,1507460.69,A,151315,1507460.69
1,9/24/2010,FALSE,72.78,3.721,3233.34,1.91,7.69,878.66,226.3151496,6.334,1351791.03,A,151315,1351791.03
1,10/29/2010,FALSE,74.66,3.506,370.99,6.35,4,5.94,226.9873637,6.034,1384209.22,A,151315,1384209.22
1,11/5/2010,FALSE,61.61,3.386,3218.13,420.29,0.55,1498.52,227.0058832,6.034,1551659.28,A,151315,1551659.28
