Store,Date,IsHoliday,Temperature,gas_price,discount_promotional,discount_clearance,discount_damaged_good,discount_competitive,CPI,Unemployment
1,2/5/2010,FALSE,59.33,3.36,9667.5,268.29,0.6,8368.15,223.6591137,6.833
1,2/12/2010,TRUE,51.65,3.409,8687.47,1594.87,2.2,2144.87,223.753643,6.833
1,2/19/2010,FALSE,52.39,3.51,2706.87,3128.74,1.88,2396.68,223.9170153,6.833
1,2/26/2010,FALSE,60.12,3.555,6129.28,1802.84,NA,301.48,224.1320199,6.833
1,3/5/2010,FALSE,61.65,3.63,3552.58,601.32,NA,2666.22,224.3470245,6.833
1,3/12/2010,FALSE,60.71,3.669,8368.5,298.46,1.39,1340.29,224.5620291,6.833
1,3/19/2010,FALSE,64,3.734,2588.06,80.89,3.2,909.76,224.7166953,6.833
1,3/26/2010,FALSE,66.53,3.787,737.08,36.1,1.43,92.11,224.7909104,6.833
1,4/2/2010,FALSE,69.36,3.845,825.1,99.83,1.25,113.25,224.8651254,6.833
1,4/9/2010,FALSE,73.01,3.891,4433.71,NA,24.45,1282.3,224.9393405,6.664
1,4/16/2010,FALSE,72.83,3.891,5359.22,1673.42,3,682.03,225.0135556,6.664
1,4/23/2010,FALSE,72.05,3.877,2784.82,130.68,1.75,425.29,225.0689541,6.664
1,4/30/2010,FALSE,73.39,3.814,1178.7,NA,2.95,36.5,225.1243526,6.664
1,5/7/2010,FALSE,79.51,3.749,2430.23,NA,30.92,1159.71,225.1797511,6.664
1,5/14/2010,FALSE,75.19,3.688,3794.95,NA,0.25,813.77,225.2351496,6.664
1,5/21/2010,FALSE,72.38,3.63,3208.73,NA,0.3,143.23,225.2512024,6.664
1,5/28/2010,FALSE,78.58,3.561,3032.03,NA,291.17,536.82,225.2515168,6.664
1,6/4/2010,FALSE,81.55,3.501,2664.55,10,220.03,618.49,225.2518313,6.664
1,6/11/2010,FALSE,81.65,3.452,5770.48,28.6,30.18,283.7,225.2521458,6.664
1,6/18/2010,FALSE,84.66,3.393,2014.47,31.8,1,631.17,225.2644795,6.664
1,6/25/2010,FALSE,82.7,3.346,1843.45,11.2,0.51,421.71,225.3068615,6.664
1,7/2/2010,FALSE,86.42,3.286,2297.32,8,NA,395.28,225.3492435,6.664
1,7/9/2010,FALSE,83.14,3.227,2625.99,30.7,28.16,703.16,225.3916254,6.334
1,7/16/2010,FALSE,82.28,3.256,3196.9,20.8,2.02,302.29,225.4340074,6.334
1,7/23/2010,FALSE,81.38,3.311,1266.72,66.2,3.83,149.62,225.4438827,6.334
1,7/30/2010,FALSE,84.94,3.407,3447.28,31,2.46,1791.7,225.4537579,6.334
1,8/6/2010,FALSE,86.55,3.417,5683.49,37.2,0.04,2484.22,225.4636332,6.334
1,8/13/2010,FALSE,85.85,3.494,3375.44,28.4,2.4,1880.43,225.4735085,6.334
1,8/20/2010,FALSE,87.36,3.571,990.08,44.2,NA,401.46,225.5558664,6.334
1,8/27/2010,FALSE,83.01,3.62,3062.02,26.8,NA,1004.51,225.6925864,6.334
1,9/3/2010,FALSE,85.18,3.638,6599.69,27.8,24.7,1743.76,225.8293063,6.334
1,9/10/2010,TRUE,84.99,3.73,2266.83,19,8.31,419.87,225.9660263,6.334
1,9/17/2010,FALSE,78.36,3.717,3589.7,NA,3.72,2080.29,226.1122067,6.334
1,9/24/2010,FALSE,72.78,3.721,3233.34,1.91,7.69,878.66,226.3151496,6.334
1,10/1/2010,FALSE,77.46,3.666,2493.82,NA,1.5,890.65,226.5180926,6.334
1,10/8/2010,FALSE,72.74,3.617,1750.8,NA,3.01,480.24,226.7210356,6.034
1,10/15/2010,FALSE,70.31,3.601,775.31,NA,2.78,498.54,226.9239785,6.034
1,10/22/2010,FALSE,73.44,3.594,629.25,NA,7.5,75.11,226.9688442,6.034
1,10/29/2010,FALSE,74.66,3.506,370.99,6.35,4,5.94,226.9873637,6.034
1,11/5/2010,FALSE,61.61,3.386,3218.13,420.29,0.55,1498.52,227.0058832,6.034
1,11/12/2010,FALSE,68.72,3.314,2540.75,985.52,0.85,273.23,227.0244026,6.034
1,11/19/2010,FALSE,61.1,3.252,1933.43,197.19,48.6,433.85,227.0569237,6.034
1,11/26/2010,TRUE,61.69,3.211,145.3,NA,54466.91,NA,227.1081136,6.034
1,12/3/2010,FALSE,57.5,3.207,1573.54,NA,1095.99,157.62,227.1593035,6.034
1,12/10/2010,FALSE,65.09,3.198,5342.1,NA,201,317.78,227.2104933,6.034
1,12/17/2010,FALSE,54.72,3.168,1214.46,NA,28,119.11,227.2717348,6.034
